id,time,club,ball,combine_test_report_id,score,distance_from_pin
174fabce-030b-4ae5-93d8-18fda5c0e04c,2024-08-08T07:25:21.7003041+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,48.0,7.558668215421732
56e660d8-4cca-4fba-b1aa-180db0702b32,2024-08-08T07:25:34.5222407+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,100.0,0.7134460754327532
524c6dbe-3860-4568-a061-b5786f736da5,2024-08-08T07:25:47.8367087+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,69.0,4.691196079622498
7a024ba0-727d-479a-a272-98582af3370b,2024-08-08T07:37:03.4994707+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,89.0,2.0953909358935197
f17b5ac3-a5e4-4ed4-93d7-9dfb3b80e84c,2024-08-08T07:37:27.6749444+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,59.0,6.046362212071379
8eea22dd-df27-4ef2-89c5-31caffa407dc,2024-08-08T07:37:45.1944006+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,85.0,2.6292274961542743
5cfd2d4c-2e18-4e43-9f11-fa76eb3eb7bb,2024-08-08T07:25:57.881748+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,89.0,2.4722962121686396
9a58ea00-7223-4d93-b0be-098e4deeb447,2024-08-08T07:26:10.1534789+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,49.0,8.738314529436447
9f55d744-00a3-4e44-b017-f046236bb308,2024-08-08T07:26:24.4557216+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,94.0,1.7679326248591536
725ccbab-3787-4a04-917d-917c9e4442a3,2024-08-08T07:38:11.0500861+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,78.0,4.255636198728245
e74451ac-bc01-4916-99d5-d8dd9bd0fee2,2024-08-08T07:38:38.420032+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,75.0,4.606282455784899
ad2565b2-381d-4c11-b01b-1224033cbd04,2024-08-08T07:39:05.9630416+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,66.0,6.096505818902393
0dc2bd20-de78-48be-87a8-04d07e83f70f,2024-08-08T07:26:44.7379992+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,99.0,0.9956693983072253
377a4046-f34f-41e7-875a-11e36dccc49d,2024-08-08T07:27:01.7274322+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,86.0,3.3685066842988727
1a188852-66bf-4675-9bd3-4e7295d6bc91,2024-08-08T07:27:14.7423003+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,100.0,0.9523406964227376
8e303adf-fcec-43c3-ae73-4c8a4d464f33,2024-08-08T07:39:39.6541145+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,94.0,1.9581318013347517
05fe5a15-3859-4d7d-b5db-40196d118274,2024-08-08T07:40:01.8881211+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,95.0,1.8129831173603008
d1191360-41f5-4d72-a60b-9b12ab6e122f,2024-08-08T07:40:22.0291077+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,82.0,4.098525608766677
